status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,Unnamed: 21
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),1361,< 100 DM,< 1 year,2,male : single,none,4,none,40,none,own,1,unskilled - resident,2,none,no,good,
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,700,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,36,none,for free,2,skilled employee/ official,1,none,yes,good,
no checking account,24,critical account/ other credits existing (not at this bank),repairs,5507,< 100 DM,>= 7 years,3,male : single,none,4,savings agreement/life insurance,44,none,for free,2,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,3190,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,none,24,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,48,no credits taken/ all credits paid back duly,furniture/equipment,7119,< 100 DM,1 to < 4 years,3,male : single,none,4,savings agreement/life insurance,53,none,for free,2,skilled employee/ official,2,none,yes,bad,
no checking account,24,existing credits paid back duly till now,car (used),3488,100 to < 500 DM,4 to < 7 years,3,female : divorced/separated/married,none,4,real estate,23,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,18,existing credits paid back duly till now,radio/television,1113,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,guarantor,4,none,26,none,own,1,unskilled - resident,2,none,yes,good,
0 to < 200 DM,26,existing credits paid back duly till now,car (used),7966,< 100 DM,< 1 year,2,male : single,none,3,real estate,30,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,15,critical account/ other credits existing (not at this bank),education,1532,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,real estate,31,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,4,critical account/ other credits existing (not at this bank),radio/television,1503,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,2,unskilled - resident,2,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,radio/television,2302,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,4,real estate,31,none,rent,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,36,existing credits paid back duly till now,education,2273,< 100 DM,4 to < 7 years,3,male : single,none,1,real estate,32,none,own,2,skilled employee/ official,2,none,yes,good,
no checking account,12,delay in paying off in the past,car (used),1503,< 100 DM,1 to < 4 years,4,male : married/widowed,none,4,none,41,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,radio/television,3105,unknown/ no savings account,< 1 year,4,male : single,none,2,real estate,25,none,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,21,critical account/ other credits existing (not at this bank),education,2319,< 100 DM,< 1 year,2,male : divorced/separated,none,1,real estate,33,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,48,existing credits paid back duly till now,car (new),7763,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,42,bank,for free,1,management/ self-employed/highly qualified employee,1,none,yes,bad,
>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,3049,< 100 DM,< 1 year,1,female : divorced/separated/married,none,1,car,45,stores,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1534,< 100 DM,< 1 year,1,male : married/widowed,none,1,none,23,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,6350,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,31,none,own,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,18,existing credits paid back duly till now,furniture/equipment,2864,< 100 DM,1 to < 4 years,2,male : single,none,1,none,34,none,own,1,unskilled - resident,2,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),car (new),1255,< 100 DM,>= 7 years,4,male : single,none,4,none,61,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,24,delay in paying off in the past,car (new),1333,< 100 DM,unemployed,4,male : single,none,2,none,43,none,for free,2,skilled employee/ official,2,none,yes,bad,
no checking account,24,existing credits paid back duly till now,radio/television,1552,< 100 DM,4 to < 7 years,3,male : single,none,1,real estate,32,bank,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,12,all credits at this bank paid back duly,radio/television,626,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,none,24,bank,own,1,unskilled - resident,1,none,yes,bad,
no checking account,12,critical account/ other credits existing (not at this bank),repairs,996,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,4,none,23,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,6,all credits at this bank paid back duly,radio/television,1750,500 to < 1000 DM,>= 7 years,2,male : single,none,4,car,45,bank,own,1,unskilled - resident,2,none,yes,good,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1995,100 to < 500 DM,< 1 year,4,male : single,none,1,real estate,27,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1331,< 100 DM,< 1 year,2,male : single,none,1,real estate,22,stores,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,18,no credits taken/ all credits paid back duly,car (new),2278,100 to < 500 DM,< 1 year,3,female : divorced/separated/married,none,3,real estate,28,none,own,2,skilled employee/ official,1,none,yes,bad,
< 0 DM,24,all credits at this bank paid back duly,furniture/equipment,3552,< 100 DM,4 to < 7 years,3,male : single,none,4,real estate,27,bank,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1928,< 100 DM,< 1 year,2,male : single,none,2,none,31,none,own,2,unskilled - resident,1,none,yes,bad,
< 0 DM,24,all credits at this bank paid back duly,radio/television,1546,< 100 DM,4 to < 7 years,4,male : single,guarantor,4,real estate,24,bank,rent,1,unskilled - resident,1,none,yes,bad,
>= 200 DM,6,delay in paying off in the past,radio/television,683,< 100 DM,< 1 year,2,female : divorced/separated/married,none,1,car,29,bank,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,car (new),1372,< 100 DM,4 to < 7 years,2,male : divorced/separated,none,3,real estate,36,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2578,>= 1000 DM,>= 7 years,2,male : single,none,2,real estate,34,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5954,< 100 DM,4 to < 7 years,3,male : single,co-applicant,2,real estate,38,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,business,806,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,car,22,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,1082,< 100 DM,>= 7 years,4,male : single,none,4,real estate,27,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,15,critical account/ other credits existing (not at this bank),furniture/equipment,2788,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,co-applicant,3,real estate,24,bank,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,2930,< 100 DM,4 to < 7 years,2,female : divorced/separated/married,none,1,none,27,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,< 100 DM,< 1 year,4,male : divorced/separated,none,4,real estate,27,none,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,24,existing credits paid back duly till now,retraining,937,< 100 DM,< 1 year,4,male : married/widowed,none,3,real estate,27,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,18,critical account/ other credits existing (not at this bank),car (new),1056,< 100 DM,>= 7 years,3,male : single,guarantor,3,none,30,bank,own,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),3124,< 100 DM,< 1 year,1,male : single,none,3,none,49,bank,own,2,unskilled - resident,2,none,yes,good,
no checking account,9,existing credits paid back duly till now,furniture/equipment,1388,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,none,26,none,rent,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,36,existing credits paid back duly till now,repairs,2384,< 100 DM,< 1 year,4,male : single,none,1,savings agreement/life insurance,33,none,rent,1,unskilled - resident,1,none,yes,bad,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,2039,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,4,none,20,bank,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,< 100 DM,1 to < 4 years,2,male : single,none,2,none,36,none,rent,2,skilled employee/ official,2,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1289,< 100 DM,1 to < 4 years,4,male : single,guarantor,1,car,21,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,12,critical account/ other credits existing (not at this bank),furniture/equipment,2246,< 100 DM,>= 7 years,3,male : single,none,3,car,60,none,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,21,existing credits paid back duly till now,business,1572,>= 1000 DM,>= 7 years,4,female : divorced/separated/married,none,4,none,36,bank,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 to < 500 DM,< 1 year,1,female : divorced/separated/married,none,1,car,32,stores,own,1,unskilled - resident,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,car (new),1442,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,2,skilled employee/ official,1,none,yes,bad,
no checking account,18,critical account/ other credits existing (not at this bank),car (new),2775,< 100 DM,4 to < 7 years,2,male : single,none,2,car,31,bank,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,24,delay in paying off in the past,business,3863,< 100 DM,1 to < 4 years,1,male : single,none,2,savings agreement/life insurance,32,none,for free,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,7,existing credits paid back duly till now,radio/television,2329,< 100 DM,< 1 year,1,female : divorced/separated/married,guarantor,1,none,45,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,9,existing credits paid back duly till now,furniture/equipment,918,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,1,car,30,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,24,all credits at this bank paid back duly,education,1837,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,4,savings agreement/life insurance,34,bank,for free,1,unskilled - resident,1,none,yes,bad,
>= 200 DM,10,existing credits paid back duly till now,furniture/equipment,1275,< 100 DM,< 1 year,4,female : divorced/separated/married,none,2,car,23,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,36,existing credits paid back duly till now,radio/television,2671,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,co-applicant,4,savings agreement/life insurance,50,none,for free,1,skilled employee/ official,1,none,yes,bad,
no checking account,18,existing credits paid back duly till now,radio/television,2051,< 100 DM,< 1 year,4,male : single,none,1,none,33,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/ no savings account,>= 7 years,4,male : single,none,4,savings agreement/life insurance,45,bank,for free,1,skilled employee/ official,2,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 to < 500 DM,unemployed,4,female : divorced/separated/married,none,3,car,22,none,own,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,10,existing credits paid back duly till now,car (new),1240,100 to < 500 DM,>= 7 years,1,female : divorced/separated/married,none,4,savings agreement/life insurance,48,none,for free,1,unskilled - resident,2,none,yes,bad,
< 0 DM,21,existing credits paid back duly till now,radio/television,3357,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,2,real estate,29,bank,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,all credits at this bank paid back duly,car (used),3632,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,guarantor,4,real estate,22,bank,rent,1,skilled employee/ official,1,none,no,good,
no checking account,18,delay in paying off in the past,furniture/equipment,1808,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,1,none,22,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,60,delay in paying off in the past,radio/television,9157,unknown/ no savings account,1 to < 4 years,2,male : single,none,2,savings agreement/life insurance,27,none,for free,1,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),3676,< 100 DM,1 to < 4 years,1,male : single,none,3,none,37,none,rent,3,skilled employee/ official,2,none,yes,good,
0 to < 200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,100 to < 500 DM,1 to < 4 years,2,female : divorced/separated/married,co-applicant,4,real estate,21,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,12,existing credits paid back duly till now,car (new),640,< 100 DM,1 to < 4 years,4,male : divorced/separated,none,2,none,49,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,21,critical account/ other credits existing (not at this bank),business,3652,< 100 DM,4 to < 7 years,2,male : single,none,3,car,27,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1530,< 100 DM,1 to < 4 years,3,male : single,none,2,car,32,bank,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,48,existing credits paid back duly till now,business,3914,unknown/ no savings account,1 to < 4 years,4,male : divorced/separated,none,2,none,38,bank,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,22,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,2600,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,65,none,for free,2,skilled employee/ official,1,none,yes,bad,
no checking account,15,existing credits paid back duly till now,radio/television,1979,unknown/ no savings account,>= 7 years,4,male : single,none,2,real estate,35,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 to < 500 DM,4 to < 7 years,2,male : single,none,3,savings agreement/life insurance,29,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,9,existing credits paid back duly till now,education,3832,unknown/ no savings account,>= 7 years,1,male : single,none,4,none,64,none,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,radio/television,3660,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,28,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,< 100 DM,1 to < 4 years,4,male : single,none,3,real estate,44,bank,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,15,existing credits paid back duly till now,radio/television,1444,unknown/ no savings account,< 1 year,4,male : single,none,1,car,23,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,< 100 DM,< 1 year,2,female : divorced/separated/married,co-applicant,2,real estate,19,none,rent,2,skilled employee/ official,1,none,yes,bad,
no checking account,24,existing credits paid back duly till now,radio/television,1376,500 to < 1000 DM,4 to < 7 years,4,female : divorced/separated/married,none,1,real estate,28,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,1493,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,real estate,34,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,education,750,< 100 DM,unemployed,4,female : divorced/separated/married,none,1,none,27,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,bad,
0 to < 200 DM,15,existing credits paid back duly till now,repairs,1308,< 100 DM,>= 7 years,4,male : single,none,4,real estate,38,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,30,no credits taken/ all credits paid back duly,furniture/equipment,4583,< 100 DM,1 to < 4 years,2,male : divorced/separated,guarantor,2,none,32,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,car (new),1386,500 to < 1000 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,car,26,none,own,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,24,existing credits paid back duly till now,car (new),947,< 100 DM,4 to < 7 years,4,male : single,none,3,savings agreement/life insurance,38,bank,for free,1,skilled employee/ official,2,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,education,684,< 100 DM,1 to < 4 years,4,male : single,none,4,real estate,40,none,rent,1,unskilled - resident,2,none,yes,bad,
0 to < 200 DM,12,existing credits paid back duly till now,furniture/equipment,1922,< 100 DM,1 to < 4 years,4,male : single,none,2,car,37,none,own,1,unskilled - resident,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,car (new),2303,< 100 DM,>= 7 years,4,male : single,co-applicant,1,none,45,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,14,existing credits paid back duly till now,car (new),3973,< 100 DM,unemployed,1,male : single,none,4,savings agreement/life insurance,22,none,for free,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),888,< 100 DM,>= 7 years,4,male : single,none,4,real estate,41,bank,own,1,unskilled - resident,2,none,yes,bad,
0 to < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,1,real estate,28,none,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,12,existing credits paid back duly till now,radio/television,1297,< 100 DM,1 to < 4 years,3,male : married/widowed,none,4,none,23,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,car (new),900,unknown/ no savings account,1 to < 4 years,4,male : married/widowed,none,2,real estate,23,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,21,existing credits paid back duly till now,furniture/equipment,2241,< 100 DM,>= 7 years,4,male : single,none,2,none,50,none,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,6,critical account/ other credits existing (not at this bank),education,1047,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,car,50,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,48,all credits at this bank paid back duly,business,3609,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,1,none,27,stores,own,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,30,critical account/ other credits existing (not at this bank),radio/television,3017,< 100 DM,>= 7 years,4,male : single,none,4,car,47,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,6,critical account/ other credits existing (not at this bank),car (new),2080,500 to < 1000 DM,1 to < 4 years,1,male : married/widowed,none,2,real estate,24,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,21,delay in paying off in the past,business,2580,500 to < 1000 DM,< 1 year,4,male : single,none,2,none,41,bank,own,1,unskilled - resident,2,none,yes,bad,
0 to < 200 DM,72,existing credits paid back duly till now,radio/television,5595,100 to < 500 DM,1 to < 4 years,2,male : married/widowed,none,2,real estate,24,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,radio/television,2384,< 100 DM,>= 7 years,4,male : single,none,4,none,64,bank,rent,1,unskilled - resident,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,radio/television,1453,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,none,26,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,6,existing credits paid back duly till now,education,1538,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,savings agreement/life insurance,56,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,delay in paying off in the past,radio/television,1478,< 100 DM,1 to < 4 years,4,male : married/widowed,none,3,none,33,bank,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,36,delay in paying off in the past,car (new),2862,100 to < 500 DM,>= 7 years,4,male : single,none,3,savings agreement/life insurance,30,none,for free,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,car (new),3651,>= 1000 DM,1 to < 4 years,1,male : single,none,3,car,31,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,975,< 100 DM,1 to < 4 years,2,male : divorced/separated,none,3,car,25,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 to < 500 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,25,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,24,existing credits paid back duly till now,radio/television,2896,100 to < 500 DM,< 1 year,2,male : single,none,1,real estate,29,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,< 1 year,1,male : single,none,3,none,44,none,own,2,unskilled - resident,2,none,yes,good,
no checking account,6,existing credits paid back duly till now,car (used),1236,500 to < 1000 DM,1 to < 4 years,2,male : single,none,4,car,50,none,rent,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1103,< 100 DM,4 to < 7 years,4,male : single,guarantor,3,none,29,none,own,2,skilled employee/ official,1,none,no,good,
no checking account,12,critical account/ other credits existing (not at this bank),car (new),926,< 100 DM,unemployed,1,female : divorced/separated/married,none,2,car,38,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1800,< 100 DM,1 to < 4 years,4,male : single,none,2,real estate,24,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,furniture/equipment,1123,500 to < 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,29,none,rent,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,30,delay in paying off in the past,business,2503,100 to < 500 DM,>= 7 years,4,male : single,none,2,car,41,stores,own,2,skilled employee/ official,1,none,yes,good,
no checking account,15,existing credits paid back duly till now,car (new),5324,500 to < 1000 DM,>= 7 years,1,female : divorced/separated/married,none,4,savings agreement/life insurance,35,none,for free,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,48,existing credits paid back duly till now,car (new),6560,100 to < 500 DM,4 to < 7 years,3,male : single,none,2,car,24,none,own,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,12,no credits taken/ all credits paid back duly,furniture/equipment,2969,< 100 DM,< 1 year,4,female : divorced/separated/married,none,3,car,25,none,rent,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,1206,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,none,25,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,2118,< 100 DM,1 to < 4 years,2,male : single,none,2,none,37,none,own,1,unskilled - resident,2,none,yes,good,
< 0 DM,6,all credits at this bank paid back duly,education,1198,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,savings agreement/life insurance,35,none,for free,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,9,critical account/ other credits existing (not at this bank),radio/television,1138,< 100 DM,1 to < 4 years,4,male : single,none,4,none,25,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,30,critical account/ other credits existing (not at this bank),car (used),7596,unknown/ no savings account,>= 7 years,1,male : single,none,4,real estate,63,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,6,all credits at this bank paid back duly,education,433,>= 1000 DM,< 1 year,4,female : divorced/separated/married,none,2,car,24,bank,rent,1,skilled employee/ official,2,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,car (new),1228,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,none,24,none,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,9,existing credits paid back duly till now,radio/television,790,500 to < 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,none,66,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,27,existing credits paid back duly till now,car (new),2570,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,3,none,21,none,rent,1,skilled employee/ official,1,none,yes,bad,
no checking account,6,critical account/ other credits existing (not at this bank),car (new),250,>= 1000 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,none,41,bank,own,2,unskilled - resident,1,none,yes,good,
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1316,500 to < 1000 DM,1 to < 4 years,2,male : married/widowed,none,2,car,47,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,1882,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,25,bank,rent,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,48,all credits at this bank paid back duly,business,6416,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,3,savings agreement/life insurance,59,none,rent,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,24,delay in paying off in the past,radio/television,6403,< 100 DM,< 1 year,1,male : single,none,2,real estate,33,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,radio/television,1987,< 100 DM,1 to < 4 years,2,male : single,none,4,none,21,none,rent,1,unskilled - resident,2,none,yes,bad,
0 to < 200 DM,8,existing credits paid back duly till now,radio/television,760,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,guarantor,2,none,44,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,< 100 DM,4 to < 7 years,1,female : divorced/separated/married,none,1,none,37,none,own,1,skilled employee/ official,2,none,yes,good,
0 to < 200 DM,36,all credits at this bank paid back duly,domestic appliances,3990,unknown/ no savings account,< 1 year,3,female : divorced/separated/married,none,2,savings agreement/life insurance,29,bank,own,1,unemployed/ unskilled - non-resident,1,none,yes,good,
0 to < 200 DM,24,existing credits paid back duly till now,car (used),11560,< 100 DM,1 to < 4 years,1,female : divorced/separated/married,none,4,real estate,23,none,rent,2,management/ self-employed/highly qualified employee,1,none,yes,bad,
0 to < 200 DM,30,no credits taken/ all credits paid back duly,business,4280,100 to < 500 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,26,none,rent,2,unskilled - resident,1,none,yes,bad,
< 0 DM,24,all credits at this bank paid back duly,car (new),2325,100 to < 500 DM,4 to < 7 years,2,male : single,none,3,real estate,32,bank,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,10,all credits at this bank paid back duly,radio/television,1048,< 100 DM,1 to < 4 years,4,male : single,none,4,none,23,stores,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,13,critical account/ other credits existing (not at this bank),business,1797,< 100 DM,< 1 year,3,male : single,none,1,car,28,bank,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,car (new),2511,< 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,car (new),1274,< 100 DM,< 1 year,3,female : divorced/separated/married,none,1,none,37,none,own,1,unskilled - resident,1,none,yes,bad,
no checking account,21,existing credits paid back duly till now,car (used),5248,unknown/ no savings account,1 to < 4 years,1,male : single,none,3,real estate,26,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,existing credits paid back duly till now,car (used),3029,< 100 DM,4 to < 7 years,2,male : single,none,2,real estate,33,none,own,1,skilled employee/ official,1,none,yes,good,
